,up,down,left,right
"(1,1)",-200.8,-2.44,-201.952,-2.44
"(1,1)",-200.8,-201.952,-2.952,-2.952
"(1,1)",-201.952,-201.44,-2.952,-3.3616
"(1,1)",-202.68928,-202.3616,-2.952,-3.3616
"(1,1)",-202.68928,-3.68928,-3.3616,-202.3616
"(1,1)",-202.68928,-201.952,-3.3616,-3.3616
"(1,1)",-200.8,-2.952,-201.44,-3.68928
"(1,1)",-202.68928,-201.952,-3.3616,-3.68928
"(1,1)",-202.951424,-3.3616,-3.68928,-201.952
"(1,1)",-202.68928,-201.44,-3.68928,-2.44
"(1,1)",-201.952,-2.44,-201.952,-1.8
"(1,1)",-201.44,-201.44,-2.44,-2.44
"(1,1)",-200.8,-200.8,-1.8,-1.8
"(1,1)",-201.44,-201.44,-1.0,-2.44
"(1,1)",-201.952,-201.952,-1.8,-2.952
"(1,1)",-200.8,-202.3616,-2.44,-3.3616
"(1,1)",-201.952,-3.68928,-2.952,-201.44
"(1,1)",-201.952,-201.44,-3.3616,-2.44
"(1,1)",-2.44,-1.8,-201.952,-200.8
